Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
3518343	2430	2556	126	60100	12600	6010	-1000	17610	18602
4518348	2430	2556	126	60100	12600	6010	0	18610	18504
5518317	2430	2556	126	60100	12600	6010	0	18610	18501
6518319	2430	2556	126	60100	12600	6010	0	18610	18501
7518320	2430	2555	125	60100	12500	6010	0	18510	18403
8518322	2430	2555	125	60100	12500	6010	0	18510	18405
9518324	2430	2555	125	60100	12500	6010	0	18510	18408
518326	2430	2554	124	60100	12400	6010	0	18410	17310
1518324	2430	2554	124	60100	12400	6010	0	18410	18303
2518323	2430	2554	124	60100	12400	6010	0	18410	18303
3518323	2430	2554	124	60100	12400	6010	0	18410	18303
4518324	2430	2553	123	60100	12300	6010	0	18310	17209
5518325	2430	2553	123	60100	12300	6010	0	18310	18202
6518326	2430	2553	123	60100	12300	6010	0	18310	18206
7518328	2430	2553	123	60100	12300	6010	0	18310	18207
8518329	2430	2553	123	60100	12300	6010	0	18310	19201
9518331	2430	2552	122	60100	12200	6010	0	18210	18103
518333	2430	2552	122	60100	12200	6010	0	18210	18104
1518331	2430	2552	122	60100	12200	6010	0	18210	18107
2518330	2430	2551	121	60100	12100	6010	0	18110	17009
3518330	2430	2551	121	60100	12100	6010	0	18110	18004
4518331	2430	2551	121	60100	12100	6010	0	18110	18007
5518332	2430	2551	121	60100	12100	6010	0	18110	18005
6518334	2430	2551	121	60100	12100	6010	0	18110	18006
7518335	2430	2550	120	60100	12000	6010	-1000	17010	19003
8518342	2430	2550	120	60100	12000	6010	0	18010	17905
9518343	2430	2550	120	60100	12000	6010	0	18010	17905
518345	2430	2550	120	60100	12000	6010	0	18010	17908
1518343	2430	2550	120	60100	12000	6010	0	18010	17906
2518343	2430	2549	119	60100	11900	6010	0	17910	17808
3518343	2430	2549	119	60100	11900	6010	0	17910	17807
4518343	2430	2549	119	60100	11900	6010	0	17910	17805
5518344	2430	2549	119	60100	11900	6010	0	17910	17806
6518346	2430	2548	118	60100	11800	6010	-1000	16810	17808
7518320	2430	2548	118	60100	11800	6010	0	17810	17709
8518322	2430	2548	118	60100	11800	6010	0	17810	17707
9518323	2430	2548	118	60100	11800	6010	0	17810	17706
518325	2430	2548	118	60100	11800	6010	0	17810	17711
1518323	2430	2548	118	60100	11800	6010	0	17810	17707
2518323	2430	2547	117	60100	11700	6010	0	17710	16615
3518323	2430	2547	117	60100	11700	6010	0	17710	17606
4518324	2430	2547	117	60100	11700	6010	0	17710	17609
5518325	2430	2547	117	60100	11700	6010	0	17710	17608
6518326	2430	2547	117	60100	11700	6010	0	17710	17607
7518327	2430	2547	117	60100	11700	6010	0	17710	17609
8518329	2430	2546	116	60100	11600	6010	0	17610	17509
9518331	2430	2546	116	60100	11600	6010	0	17610	17506
518333	2430	2546	116	60100	11600	6010	0	17610	17507
1518331	2430	2546	116	60100	11600	6010	0	17610	17506
2518330	2430	2546	116	60100	11600	6010	0	17610	17507
3518330	2430	2546	116	60100	11600	6010	0	17610	17510
4518331	2430	2546	116	60100	11600	6010	0	17610	17505
5518332	2430	2545	115	60100	11500	6010	0	17510	17407
6518334	2430	2545	115	60100	11500	6010	0	17510	17410
7518335	2430	2545	115	60100	11500	6010	0	17510	17407
8518337	2430	2545	115	60100	11500	6010	0	17510	17408
